date,Model_name,MAE,Batch_size,Resolution,Dropout,lr,No. training,No. testing,In size,angular_pixel_size_input_image,Training Epoch,Engine,Loss Function,More,para,MAE inc,MAE PA
2024-01-31_13-15-58,EfficientNet-B1,8.555961755,256,240,0.5,0.001,7204,1802,,0.0014,100,PyTorch,mse,,Inclination,,
2024-01-31_13-51-19,EfficientNet-B1,9.227359795,256,240,0.5,0.001,7204,1802,,0.0015,100,PyTorch,mse,,Inclination,,
2024-01-31_14-26-17,EfficientNet-B1,9.038309305,256,240,0.5,0.001,7204,1802,,0.0016,100,PyTorch,mse,,Inclination,,
2024-01-31_17-50-52,EfficientNet-B1,29.21990738,256,240,0.5,0.001,7204,1802,,0.00015,100,PyTorch,mse,,Inclination,,
2024-01-31_18-26-19,EfficientNet-B1,13.31176966,256,240,0.5,0.001,7204,1802,,0.00025,100,PyTorch,mse,,Inclination,,
2024-01-31_18-59-00,EfficientNet-B1,11.60700933,256,240,0.5,0.001,7204,1802,,0.00035,100,PyTorch,mse,,Inclination,,
2024-01-31_19-31-40,EfficientNet-B1,9.793060616,256,240,0.5,0.001,7204,1802,,0.00045,100,PyTorch,mse,,Inclination,,
2024-01-31_20-05-47,EfficientNet-B1,9.529175181,256,240,0.5,0.001,7204,1802,,0.00055,100,PyTorch,mse,,Inclination,,
2024-01-31_20-38-34,EfficientNet-B1,8.892177247,256,240,0.5,0.001,7204,1802,,0.00065,100,PyTorch,mse,,Inclination,,
2024-01-31_21-13-22,EfficientNet-B1,8.962720414,256,240,0.5,0.001,7204,1802,,0.00075,100,PyTorch,mse,,Inclination,,
2024-01-31_21-47-42,EfficientNet-B1,8.498976421,256,240,0.5,0.001,7204,1802,,0.00085,100,PyTorch,mse,,Inclination,,
2024-01-31_23-40-36,EfficientNet-B1,9.174423425,256,240,0.5,0.001,7204,1802,,0.00095,300,PyTorch,mse,,Inclination,,
2024-02-01_01-25-22,EfficientNet-B1,9.397434484,256,240,0.5,0.001,7204,1802,,0.00105,300,PyTorch,mse,,Inclination,,
2024-02-01_03-05-42,EfficientNet-B1,8.736420956,256,240,0.5,0.001,7204,1802,,0.00115,300,PyTorch,mse,,Inclination,,
2024-02-01_04-43-13,EfficientNet-B1,8.818927426,256,240,0.5,0.001,7204,1802,,0.00125,300,PyTorch,mse,,Inclination,,
2024-02-01_09-26-05,EfficientNet-B1,8.986265597,256,240,0.5,0.001,7204,1802,,0.00095,100,PyTorch,mse,,Inclination,,
2024-02-01_09-57-55,EfficientNet-B1,8.372640028,256,240,0.5,0.001,7204,1802,,0.00105,100,PyTorch,mse,,Inclination,,
2024-02-01_10-29-27,EfficientNet-B1,8.795037683,256,240,0.5,0.001,7204,1802,,0.00115,100,PyTorch,mse,,Inclination,,
2024-02-01_10-58-38,EfficientNet-B1,8.920619228,256,240,0.5,0.001,7204,1802,,0.00125,100,PyTorch,mse,,Inclination,,
2024-02-01_12-59-14,EfficientNet-B1,9.551556311,256,240,0.5,0.001,7204,1802,,0.00095,100,PyTorch,mse,,Inclination,,
2024-02-01_13-46-46,EfficientNet-B1,2.976433194,256,240,0.5,0.001,7204,1802,,0.00095,10,PyTorch,mse,,size,,
2024-02-01_13-54-50,EfficientNet-B1,4.053362071,256,240,0.5,0.001,7204,1802,,0.00095,10,PyTorch,mse,,size,,
2024-02-01_14-44-14,EfficientNet-B1,2.740905338,256,240,0.1,0.001,7204,1802,,0.00095,100,PyTorch,mse,,size,,
2024-02-01_16-34-40,EfficientNet-B1,100,256,240,0.5,0.001,2402,601,,0.0015,100,PyTorch,mse,,PA,,
2024-02-06_17-23-53,EfficientNet-B1,100,256,240,0.5,0.001,2402,601,,0.0015,100,PyTorch,angle,,PA,,
2024-02-07_11-19-38,EfficientNet-B1,100,256,240,0.5,0.001,2402,601,,0.00165,50,PyTorch,angle,,PA,,
2024-02-07_11-28-40,EfficientNet-B1,100,256,240,0.5,0.001,7199,1800,,0.00165,50,PyTorch,angle,,PA,,
2024-02-07_14-58-32,EfficientNet-B1,100,256,240,0.5,0.001,7204,1802,,0.00165,1,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_15-03-47,EfficientNet-B1,100,64,240,0.5,0.001,7204,1802,,0.00165,1,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_15-11-06,EfficientNet-B1,100,64,240,0.5,0.001,7204,1802,,0.00165,1,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_15-22-17,EfficientNet-B1,100,64,240,0.5,0.001,7204,1802,,0.00165,50,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_17-02-06,EfficientNet-B1,8.206933038,64,240,0.5,0.001,7204,1802,,0.00165,50,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_18-16-27,EfficientNet-B1,100,64,240,0.5,0.001,7204,1802,,0.00165,1,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_18-17-55,EfficientNet-B1,16.04455849,64,240,0.5,0.001,7204,1802,,0.00165,10,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_18-56-03,EfficientNet-B1,100,64,240,0.5,0.001,7204,1802,,0.00165,1,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_18-57-12,EfficientNet-B1,14.5362827,64,240,0.5,0.001,7204,1802,,0.00165,10,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_20-58-08,EfficientNet-B1,100,64,240,0.5,0.001,7204,1802,,0.00165,1,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-07_21-02-34,EfficientNet-B1,9.32264351,64,240,0.5,0.001,7204,1802,,0.00165,50,PyTorch,double,,"['Inclination', 'PA']",,
2024-02-08_00-31-48,EfficientNet-B1,100,256,240,0.5,0.001,,,,0.00165,1,PyTorch,<function angle_loss at 0x7fc40fe49790>,,"Inc, PA",,
2024-02-08_01-04-18,EfficientNet-B1,,256,240,0.5,0.001,,,,0.00165,1,PyTorch,<function angle_loss at 0x7ff630bb8790>,,"Inc, PA",45.49684162,100
2024-02-08_01-41-28,EfficientNet-B1,,256,240,0.5,0.001,,,,0.00165,1,PyTorch,<function angle_loss at 0x7f224fc23790>,,"Inc, PA",45.22645962,100
2024-02-08_01-44-02,EfficientNet-B1,,256,240,0.5,0.001,,,,0.00165,1,PyTorch,<function angle_loss at 0x7f358dd77790>,,"Inc, PA",44.02657648,100
2024-02-08_01-46-18,EfficientNet-B1,,256,240,0.5,0.001,,,,0.00165,1,PyTorch,<function angle_loss at 0x7fc5b4023790>,,"Inc, PA",45.44852697,100
2024-02-08_10-50-47,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00155,40,PyTorch,<function angle_loss at 0x7f3eb4db7790>,,"Inc, PA",10.86585421,15.05117512
2024-02-08_11-19-24,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00165,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",12.30303596,12.09208218
2024-02-08_11-45-34,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0017,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",11.26241012,12.01506122
2024-02-08_12-11-51,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00175,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",9.875098767,13.20014159
2024-02-08_12-37-17,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0018,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",9.215770319,12.68076817
2024-02-08_13-03-37,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00185,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",11.59768768,12.97266658
2024-02-08_13-28-26,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0019,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",10.4348635,12.15075986
2024-02-08_13-54-19,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00095,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",11.12324333,13.7127773
2024-02-08_14-19-57,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00105,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",11.03355497,13.01871665
2024-02-08_14-46-26,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00115,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",10.65435676,11.69501034
2024-02-08_15-12-38,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00125,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",10.60747363,13.13063192
2024-02-08_15-38-14,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00135,40,PyTorch,<function angle_loss at 0x7f61c8cf7790>,,"Inc, PA",10.86266819,14.40943019
2024-02-08_17-02-08,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00145,40,PyTorch,<function angle_loss at 0x7f46b1edc820>,,"Inc, PA",11.56719896,12.27348153
2024-02-08_17-59-49,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00015,40,PyTorch,<function angle_loss at 0x7f6d6ecb7820>,,"Inc, PA",32.44831481,15.01512432
2024-02-08_18-26-35,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00025,40,PyTorch,<function angle_loss at 0x7f6d6ecb7820>,,"Inc, PA",14.8382082,14.40475512
2024-02-08_18-52-40,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00035,40,PyTorch,<function angle_loss at 0x7f6d6ecb7820>,,"Inc, PA",12.49297357,14.61065467
2024-02-08_20-08-48,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00045,40,PyTorch,<function angle_loss at 0x7fdfbeaf79d0>,,"Inc, PA",10.78721763,14.61560488
2024-02-08_20-35-39,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00055,40,PyTorch,<function angle_loss at 0x7fdfbeaf79d0>,,"Inc, PA",10.95588276,13.64207983
2024-02-08_21-14-51,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00065,40,PyTorch,<function angle_loss at 0x7f051755c820>,,"Inc, PA",11.20659418,15.16600132
2024-02-08_21-41-27,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00075,40,PyTorch,<function angle_loss at 0x7f051755c820>,,"Inc, PA",11.7369527,13.9913195
2024-02-08_22-08-12,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00085,40,PyTorch,<function angle_loss at 0x7f051755c820>,,"Inc, PA",11.09748893,14.17591
2024-02-08_22-34-16,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0001,40,PyTorch,<function angle_loss at 0x7f051755c820>,,"Inc, PA",100,16.6666894
2024-02-08_23-16-35,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0002,40,PyTorch,<function angle_loss at 0x7f28ce59c820>,,"Inc, PA",15.41234105,15.35882107
2024-02-08_23-43-02,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0003,40,PyTorch,<function angle_loss at 0x7f28ce59c820>,,"Inc, PA",13.42205235,13.94368474
2024-02-09_00-09-34,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0004,40,PyTorch,<function angle_loss at 0x7f28ce59c820>,,"Inc, PA",12.20815021,14.07270797
2024-02-09_00-41-09,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0001,100,PyTorch,,,"Inc, PA",40.42421398,15.92520094
2024-02-09_01-54-07,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0002,100,PyTorch,,,"Inc, PA",16.52110746,14.3174688
2024-02-09_03-06-50,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0003,100,PyTorch,,,"Inc, PA",12.72836077,13.93851344
2024-02-09_04-17-53,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0004,100,PyTorch,,,"Inc, PA",11.42276851,13.79002825
2024-02-09_05-32-37,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0005,100,PyTorch,,,"Inc, PA",10.98718912,13.45945009
2024-02-09_06-40-10,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00015,100,PyTorch,,,"Inc, PA",33.37790367,14.70025015
2024-02-09_07-48-06,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00025,100,PyTorch,,,"Inc, PA",14.58578928,14.79646842
2024-02-09_08-55-08,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00035,100,PyTorch,,,"Inc, PA",12.3291189,13.62544298
2024-02-09_10-03-07,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00045,100,PyTorch,,,"Inc, PA",11.65835744,13.43270683
2024-02-09_11-08-21,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00055,100,PyTorch,,,"Inc, PA",10.74859775,13.49919065
2024-02-09_12-16-03,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00065,100,PyTorch,,,"Inc, PA",10.8440967,13.6882027
2024-02-09_13-20-52,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00075,100,PyTorch,,,"Inc, PA",10.9037647,13.05017471
2024-02-09_14-40-46,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00005,100,PyTorch,,,"Inc, PA",41.14809662,17.40942399
2024-02-09_15-49-44,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00006,100,PyTorch,,,"Inc, PA",38.34841333,16.73353116
2024-02-09_16-59-17,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00007,100,PyTorch,,,"Inc, PA",38.03261025,16.41552146
2024-02-09_18-07-00,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00008,100,PyTorch,,,"Inc, PA",39.93670444,16.90966654
2024-02-09_19-17-19,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00009,100,PyTorch,,,"Inc, PA",37.61273498,17.40923595
2024-02-09_20-26-29,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00085,100,PyTorch,,,"Inc, PA",10.04940772,13.2425882
2024-02-09_21-35-52,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00095,100,PyTorch,,,"Inc, PA",10.4914609,12.68266582
2024-02-09_22-46-31,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00105,100,PyTorch,,,"Inc, PA",10.3346584,13.73522186
2024-02-09_23-57-36,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00115,100,PyTorch,,,"Inc, PA",11.00231798,13.47570244
2024-02-10_01-07-17,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00125,100,PyTorch,,,"Inc, PA",10.28921898,13.70447286
2024-02-10_02-14-49,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00135,100,PyTorch,,,"Inc, PA",10.52984504,12.61173868
2024-02-10_03-23-49,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00145,100,PyTorch,,,"Inc, PA",10.3075317,12.81060823
2024-02-10_04-32-28,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00165,100,PyTorch,,,"Inc, PA",10.44087367,12.95110989
2024-02-10_05-41-56,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0017,100,PyTorch,,,"Inc, PA",9.520826875,13.27968105
2024-02-10_06-47-31,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00175,100,PyTorch,,,"Inc, PA",10.47614548,14.52193213
2024-02-10_07-51-11,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0018,100,PyTorch,,,"Inc, PA",9.621660476,12.27407249
2024-02-10_08-55-41,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00185,100,PyTorch,,,"Inc, PA",9.939742923,11.9705836
2024-02-10_10-00-38,EfficientNet-B1,,300,240,0.5,0.001,,,,0.0019,100,PyTorch,,,"Inc, PA",10.36650141,13.7267793
2024-02-10_11-54-07,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00011,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",24.62832264,15.3030191
2024-02-10_15-09-18,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00012,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",21.46634519,15.19646984
2024-02-10_18-17-26,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00013,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",15.48393461,14.77699825
2024-02-10_21-26-11,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00014,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",12.80815349,14.57471964
2024-02-11_00-40-28,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00016,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",10.9406324,14.04200469
2024-02-11_04-05-57,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00017,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",10.81161465,14.1919926
2024-02-11_07-41-15,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00018,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",10.06423871,14.28411314
2024-02-11_11-07-26,EfficientNet-B1,,300,240,0.5,0.001,,,,0.00019,100,PyTorch,<function angle_loss at 0x7fb4a85e4040>,,"Inc, PA",10.02158964,13.71451187
2024-02-14_17-53-51,EfficientNet-B1,100,64,240,0.2,0.001,7204,1802,,0.00165,10,PyTorch,mse,,size,,
2024-02-14_18-05-35,EfficientNet-B1,100,256,240,0.2,0.001,7204,1802,,0.0011,10,PyTorch,mse,,size,,
2024-02-14_20-03-00,EfficientNet-B1,100,256,240,0.2,0.001,21614,5404,,0.00019,10,PyTorch,mse,,size,,
2024-02-14_20-16-58,EfficientNet-B1,1.204143322,256,240,0.2,0.001,21614,5404,,0.00019,10,PyTorch,mse,,size,,
2024-02-14_20-52-22,EfficientNet-B1,0.500986814,256,240,0.2,0.001,21614,5404,,0.00019,50,PyTorch,mse,,size,,
2024-02-14_22-45-19,EfficientNet-B1,2.430082892,256,240,0.2,0.001,21614,5404,,0.00019,1,PyTorch,mse,,size,,
2024-02-14_23-23-39,EfficientNet-B1,100,256,240,0.2,0.001,21614,5404,,0.00019,1,PyTorch,mse,,size,,
2024-02-14_23-27-43,EfficientNet-B1,3.080264447,256,240,0.2,0.001,21614,5404,,0.00011,1,PyTorch,mse,,size,,
2024-02-14_23-29-07,EfficientNet-B1,3.119861363,256,240,0.2,0.001,21614,5404,,0.00012,1,PyTorch,mse,,size,,
2024-02-14_23-30-27,EfficientNet-B1,100,256,240,0.2,0.001,21614,5404,,0.00013,1,PyTorch,mse,,size,,
2024-02-14_23-31-46,EfficientNet-B1,2.264286362,256,240,0.2,0.001,21614,5404,,0.00014,1,PyTorch,mse,,size,,
2024-02-14_23-33-03,EfficientNet-B1,2.674935201,256,240,0.2,0.001,21614,5404,,0.00016,1,PyTorch,mse,,size,,
2024-02-14_23-34-21,EfficientNet-B1,100,256,240,0.2,0.001,21614,5404,,0.00017,1,PyTorch,mse,,size,,
2024-02-14_23-35-41,EfficientNet-B1,1.539368229,256,240,0.2,0.001,21614,5404,,0.00018,1,PyTorch,mse,,size,,
2024-02-14_23-37-00,EfficientNet-B1,1.885518463,256,240,0.2,0.001,21614,5404,,0.00019,1,PyTorch,mse,,size,,
2024-02-15_00-09-45,EfficientNet-B1,0.772853428,256,240,0.2,0.001,21614,5404,,0.00011,100,PyTorch,mse,,size,,
2024-02-15_01-42-34,EfficientNet-B1,0.613473916,256,240,0.2,0.001,21614,5404,,0.00012,100,PyTorch,mse,,size,,
2024-02-15_03-11-34,EfficientNet-B1,0.743500479,256,240,0.2,0.001,21614,5404,,0.00013,100,PyTorch,mse,,size,,
2024-02-15_09-50-20,EfficientNet-B1,0.68016581,256,240,0.2,0.001,21614,5404,,0.00014,100,PyTorch,mse,,size,,
2024-02-15_11-28-49,EfficientNet-B1,0.749802246,256,240,0.2,0.001,21614,5404,,0.00016,100,PyTorch,mse,,size,,
2024-02-15_13-02-25,EfficientNet-B1,0.57020631,256,240,0.2,0.001,21614,5404,,0.00017,100,PyTorch,mse,,size,,
