,Pred,Real,Pred_raw0,Pred_raw1,Pred_raw2,Pred_raw3
0,3.0,3.0,-1.3197559,-3.8990881,0.82476205,6.168252
1,3.0,3.0,-1.2412367,-3.7068915,0.7947281,5.84973
2,2.0,2.0,-2.3983002,-3.4547815,9.224705,-3.7151608
3,0.0,0.0,9.8101845,0.10020863,-3.1573792,-3.336716
4,2.0,2.0,-2.0609107,-3.0525484,7.9445534,-3.1437683
5,2.0,2.0,-2.1227694,-3.1671522,8.429352,-3.5408714
6,0.0,0.0,9.85647,0.0013264343,-3.124674,-3.2616878
7,0.0,0.0,12.541546,-0.08498526,-3.9075606,-4.1692915
8,2.0,2.0,-2.3623996,-3.6914806,9.654692,-4.011357
9,2.0,2.0,-2.4393768,-3.2248762,9.256122,-4.091047
10,0.0,0.0,14.227621,-0.28861642,-4.3659,-4.7808084
11,1.0,1.0,-2.0101213,9.317256,-1.0347031,-4.748951
12,1.0,1.0,-1.2306737,8.286389,-1.1858643,-4.161491
13,0.0,0.0,13.1299095,-0.019632109,-4.22181,-4.30666
14,1.0,1.0,-1.9972557,8.591512,-0.6216057,-4.621884
15,1.0,1.0,-2.086328,10.159698,-1.2236949,-5.001916
16,0.0,0.0,13.478143,-0.2554047,-4.121053,-4.5189643
17,2.0,2.0,-1.8829942,-3.4883018,6.802459,-1.2700208
18,2.0,2.0,-2.417883,-3.1629143,8.3636,-3.0217726
19,2.0,2.0,-2.2433562,-3.1876225,8.71846,-3.7139556
20,1.0,1.0,-2.178298,9.163152,-0.7468193,-4.8429613
21,2.0,2.0,-1.945238,-3.4140277,8.117891,-3.0239677
22,1.0,1.0,-1.2945611,6.1521707,-0.47448796,-3.5059547
23,2.0,2.0,-2.6530633,-3.7479582,10.405457,-4.4611645
24,1.0,1.0,-2.3520422,10.548829,-1.1247844,-5.255274
25,3.0,3.0,-1.3130215,-3.8338056,0.7793616,6.076304
26,0.0,0.0,13.505133,-0.26389074,-4.118527,-4.5134797
27,2.0,2.0,-2.8994117,-2.8723478,9.393135,-4.136434
28,2.0,2.0,-2.1083264,-3.2659726,8.242213,-3.162048
29,2.0,2.0,-3.0318604,-1.8802867,8.4820175,-4.2470555
30,2.0,2.0,-2.9709291,-1.7569864,8.000786,-3.9873433
31,0.0,0.0,12.21615,-0.18120217,-3.67599,-4.0722876
32,1.0,1.0,-2.194993,9.131284,-0.7698478,-4.7299542
33,3.0,3.0,-1.0915836,-3.5838337,0.95361453,5.608377
34,2.0,2.0,-2.5093417,-3.6306324,9.702733,-3.950645
35,2.0,2.0,-2.663166,-3.2848897,9.258276,-3.6058393
36,2.0,2.0,-2.3962264,-3.5528522,9.291773,-3.69086
37,3.0,3.0,-1.361322,-3.8835883,0.7444455,6.1758604
38,3.0,3.0,-1.3646849,-3.9041622,0.75858265,6.2100205
39,3.0,3.0,-1.1721094,-3.8086596,1.0117285,5.96833
40,2.0,2.0,-2.487894,-3.5071845,9.643965,-4.0780416
41,1.0,1.0,-1.351519,8.981958,-1.3358973,-4.4513454
42,3.0,3.0,-1.367457,-3.918283,0.7649581,6.2297235
43,1.0,0.0,3.6225672,3.8469489,-2.5578246,-2.7734466
44,2.0,2.0,-2.8163714,-2.7594514,9.520712,-4.5877295
45,0.0,0.0,12.22675,-0.23988318,-3.7664976,-4.10896
46,3.0,3.0,-1.2545923,-3.7034895,0.76640415,5.8572526
47,0.0,0.0,11.181265,-0.021378048,-3.6013362,-3.7120943
48,1.0,1.0,-1.506269,7.997289,-0.7999633,-4.2525935
49,2.0,2.0,-1.9942509,-2.8955507,7.3710623,-2.668532
50,3.0,3.0,-1.3379382,-3.9029992,0.79670864,6.18984
51,2.0,2.0,-2.7548656,-1.9843775,7.984123,-3.82141
52,1.0,1.0,-1.6040816,9.2691345,-1.1738809,-4.71188
53,2.0,2.0,-1.8418111,-3.7151394,5.379981,0.86048913
54,3.0,3.0,-1.3490723,-3.88743,0.76747316,6.1762795
55,2.0,3.0,-1.9953631,-3.66278,7.146656,-1.3641763
56,2.0,2.0,-2.7627702,-3.38309,9.937838,-4.2109303
57,2.0,2.0,-2.3590665,-3.615377,9.006726,-3.2566595
58,0.0,0.0,12.5748,-0.031746633,-3.9834962,-4.142627
59,2.0,2.0,-2.0472617,-3.308306,8.172981,-3.1211183
60,3.0,3.0,-1.3643078,-3.8839645,0.7402915,6.1784043
61,2.0,2.0,-2.3823075,-3.0499434,8.255934,-3.1129048
62,1.0,1.0,-2.0081935,8.800714,-0.80241114,-4.5682597
63,3.0,3.0,-1.3463501,-3.8583887,0.7493846,6.132692
64,2.0,2.0,-2.315998,-3.4112706,8.737942,-3.2243867
65,2.0,2.0,-1.8688339,-3.302075,7.573366,-2.6046386
66,2.0,2.0,-2.5814314,-3.337509,9.39199,-3.8928556
67,3.0,3.0,-1.2654712,-3.705286,0.751566,5.8615837
68,2.0,2.0,-2.232644,-3.280519,8.815411,-3.7283046
69,2.0,2.0,-2.6128373,-3.4749053,9.548445,-3.7781436
70,2.0,2.0,-2.5078382,-2.5154545,7.92877,-3.245643
71,2.0,2.0,-2.2105231,-2.6688228,7.1421027,-2.5568655
72,2.0,2.0,-2.246944,-3.71739,9.009816,-3.2576704
73,2.0,2.0,-2.6567755,-3.217174,9.403848,-3.9508443
74,3.0,3.0,-1.3590729,-3.8728633,0.7392216,6.1577816
75,0.0,0.0,13.723869,-0.08739401,-4.3319798,-4.5174484
76,1.0,1.0,-1.7785505,6.9777527,-0.5204126,-3.7362015
77,2.0,2.0,-3.1059837,-2.4822412,9.684592,-4.806544
78,3.0,3.0,-1.2914699,-3.8673906,0.84736675,6.1073174
79,2.0,2.0,-2.995389,-2.6372705,9.389103,-4.350836
80,2.0,2.0,-2.380373,-3.6961067,9.377524,-3.5972166
81,0.0,0.0,13.684607,-0.21962714,-4.2036724,-4.5619717
82,3.0,3.0,-1.3566412,-3.8798382,0.74885863,6.1689425
83,3.0,3.0,-1.3637602,-3.9079642,0.7613302,6.212231
84,0.0,0.0,10.380823,0.16901064,-3.4621835,-3.367478
85,1.0,1.0,0.620701,5.3760285,-1.4979446,-2.8918123
86,1.0,1.0,-0.3246665,6.8470645,-1.3133026,-3.4735808
87,3.0,3.0,-1.0534219,-3.5499752,1.0812109,5.601717
88,3.0,3.0,-1.3331283,-3.8471806,0.7585302,6.109146
89,2.0,2.0,-2.352367,-3.6755404,9.29366,-3.5756896
90,3.0,3.0,-1.3562156,-3.927763,0.7892495,6.236037
91,2.0,2.0,-2.6794224,-3.5061374,9.900218,-4.1183534
92,2.0,2.0,-2.112514,-3.3403947,8.202066,-3.0011718
93,2.0,2.0,-2.9468102,-3.2284575,10.234756,-4.6113505
94,2.0,2.0,-2.3147292,-3.62862,9.119666,-3.4459493
95,2.0,2.0,-2.2294745,-3.3143768,8.960807,-3.812582
96,2.0,2.0,-2.418799,-3.5654397,9.240997,-3.5328436
97,0.0,0.0,4.465066,2.5667536,-2.4534297,-2.3552215
98,1.0,1.0,-2.0556707,7.029011,-0.26993215,-3.983205
99,2.0,2.0,-2.7008653,-3.131517,9.317202,-3.879307
100,1.0,1.0,1.1041225,5.2933965,-1.5866498,-3.0748937
101,0.0,0.0,10.469757,0.068810456,-3.3994882,-3.4357347
102,0.0,0.0,10.281473,-0.07606686,-3.2336102,-3.4278908
103,2.0,2.0,-3.09195,-1.752779,8.570819,-4.4134912
104,0.0,0.0,11.9382925,0.07525968,-3.8539224,-4.018201
105,3.0,3.0,-1.3644767,-3.904395,0.7570829,6.2062407
106,3.0,3.0,-1.4017736,-3.5859404,2.478821,4.084838
107,0.0,0.0,15.01387,-0.2139461,-4.597699,-5.003333
108,2.0,2.0,-2.561637,-3.6092243,9.75486,-4.01596
109,0.0,0.0,9.513166,-0.026457198,-2.9802613,-3.2118196
110,1.0,1.0,-1.6315812,5.157614,-0.15466787,-2.966055
111,2.0,2.0,-2.2483053,-3.6336346,9.203142,-3.70468
112,0.0,0.0,13.061191,-0.16163445,-3.9867258,-4.3185782
113,0.0,0.0,10.090588,-0.009546287,-3.2015378,-3.361223
114,1.0,1.0,-2.0235047,8.042241,-0.53066504,-4.3444257
115,0.0,0.0,9.7157955,0.21761167,-3.1907492,-3.3473194
116,1.0,1.0,-1.6635481,8.396034,-0.92243797,-4.313008
117,2.0,2.0,-2.7503862,-3.4192066,9.997166,-4.239366
118,2.0,2.0,-2.3529906,-3.5714102,9.598721,-4.1228013
119,3.0,3.0,-1.3542548,-3.8728445,0.74663204,6.156759
120,3.0,3.0,-1.3517995,-3.8865185,0.76355416,6.175187
121,2.0,2.0,-2.8237262,-3.3932467,10.141857,-4.353006
122,1.0,1.0,-0.020102143,4.1579995,-0.84093684,-2.4267259
123,1.0,1.0,-0.3426503,7.040647,-1.4533978,-3.4925196
124,3.0,2.0,-1.0150698,-3.398328,1.1311556,5.4051538
125,3.0,3.0,-1.3422042,-3.8768673,0.77174634,6.1544337
126,2.0,2.0,-1.9976779,-3.4967766,7.689698,-2.2991037
127,2.0,2.0,-2.2233157,-3.5660334,8.632047,-3.0993874
128,0.0,0.0,11.966111,-0.033801325,-3.7612634,-3.9314797
129,3.0,3.0,-1.3474696,-3.8820739,0.76755655,6.1645617
