,Pred,Real,Pred_raw0,Pred_raw1,Pred_raw2,Pred_raw3
0,2.0,0.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
1,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
2,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
3,2.0,0.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
4,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
5,2.0,2.0,-0.5925707,-0.80861604,0.74957645,-0.16898063
6,2.0,2.0,-0.24357985,-0.23503539,0.27404827,-0.3191497
7,2.0,0.0,-0.27520972,-0.3030007,0.38046128,-0.33180374
8,2.0,1.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
9,2.0,0.0,-0.3207714,-0.39786455,0.31861818,-0.17336302
10,2.0,1.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
11,2.0,1.0,-0.8215309,-1.1468152,1.3707405,-0.40384665
12,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
13,2.0,1.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
14,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
15,2.0,3.0,-0.26733655,-0.29978365,0.15892008,-0.1051878
16,2.0,2.0,-0.1487092,-0.10833418,-0.020003654,-0.1415787
17,2.0,1.0,-0.26744854,-0.25868726,0.32087407,-0.32328713
18,2.0,3.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
19,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
20,2.0,2.0,-0.27122486,-0.27264747,0.34488666,-0.3278706
21,2.0,3.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
22,2.0,3.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
23,2.0,1.0,-0.2691673,-0.30208477,0.37898543,-0.32525232
24,2.0,0.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
25,2.0,0.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
26,2.0,1.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
27,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
28,2.0,0.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
29,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
30,2.0,2.0,-2.2060044,-3.138164,3.9559498,-0.92101896
31,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
32,2.0,1.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
33,2.0,0.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
34,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
35,2.0,2.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
36,2.0,3.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
37,2.0,3.0,-0.26883972,-0.2620354,0.32877815,-0.3236254
