date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,No. star,No. BH,Time,BH_lower_size,BH_upper_size,init_size,wavelength,D,F,angular_pixel_size_input_image,CCD_pixel_size,CCD_pixel_count,noise_radius
2024-01-26_23-11-10,yolov5,16,1024,800.0,200.0,100,,0.031664,0.032917,0.0073818,0.54014,0.47626,0.45547,0.17936,10.0,1.0,1684.881191,64.0,75.0,3072.0,1e-07,6.5,131.4,3e-05,1.91113e-08,3072.0,
2024-01-26_23-41-05,yolov5,16,1024,800.0,200.0,100,,0.039773,0.036713,0.007042,0.4277,0.4295,0.31348,0.098152,10.0,1.0,28946.45848,64.0,75.0,3072.0,1e-07,6.5,131.4,2.5e-05,1.59261e-08,3072.0,
2024-01-27_11-33-57,yolov5,16,1024,800.0,200.0,100,,0.044561,0.044496,0.0069845,0.3579,0.3535,0.21498,0.047415,10.0,1.0,3180.676013,64.0,75.0,3072.0,1e-07,6.5,131.4,2e-05,1.27409e-08,3072.0,
2024-02-14_16-20-41,yolov5,16,1024,2400.0,600.0,10,,0.01585,0.019664,0.0072268,0.49253,0.79354,0.54701,0.34428,10.0,1.0,6086.809282,30.0,50.0,3072.0,1e-07,6.5,131.4,5e-05,3.18522e-08,3072.0,
2024-02-14_18-54-32,yolov5,16,1024,2400.0,600.0,10,,0.01585,0.019664,0.0072268,0.49253,0.79354,0.54701,0.34428,10.0,1.0,3891.619878,30.0,50.0,3072.0,1e-07,6.5,131.4,5e-05,3.18522e-08,3072.0,
2024-02-14_20-46-31,yolov5,8,1024,2400.0,600.0,10,,0.017778,0.020335,0.0072961,0.50905,0.73333,0.55832,0.31029,10.0,1.0,515.985235,30.0,50.0,3072.0,1e-07,6.5,131.4,5e-05,3.18522e-08,3072.0,
2024-02-14_20-55-07,yolov5,8,1024,2400.0,600.0,10,,0.020213,0.021853,0.0074868,0.45431,0.94542,0.56761,0.29026,10.0,1.0,509.1180323,30.0,50.0,3072.0,1e-07,6.5,131.4,6e-05,3.82227e-08,3072.0,
2024-02-14_21-03-37,yolov5,8,1024,2400.0,600.0,10,,0.020342,0.021187,0.0074764,0.48164,0.94021,0.60206,0.32323,10.0,1.0,522.9796717,30.0,50.0,3072.0,1e-07,6.5,131.4,7e-05,4.45931e-08,3072.0,
2024-02-14_21-12-20,yolov5,8,1024,2400.0,600.0,10,,0.019123,0.023493,0.006569,0.4892,0.92958,0.59582,0.31295,10.0,1.0,524.8136174,30.0,50.0,3072.0,1e-07,6.5,131.4,8e-05,5.09636e-08,3072.0,
2024-02-14_21-21-04,yolov5,8,1024,2400.0,600.0,10,,0.022416,0.022756,0.0065589,0.48484,0.87708,0.64105,0.31909,10.0,1.0,522.684012,30.0,50.0,3072.0,1e-07,6.5,131.4,9e-05,5.7334e-08,3072.0,
2024-02-14_21-32-38,yolov5,8,1024,2400.0,600.0,10,,0.017778,0.020335,0.0072961,0.50905,0.73333,0.55832,0.31029,10.0,1.0,525.4012952,30.0,50.0,3072.0,1e-07,6.5,131.4,5e-05,3.18522e-08,3072.0,
2024-02-14_21-41-24,yolov5,8,1024,2400.0,600.0,10,,0.020213,0.021853,0.0074868,0.45431,0.94542,0.56761,0.29026,10.0,1.0,510.9724571,30.0,50.0,3072.0,1e-07,6.5,131.4,6e-05,3.82227e-08,3072.0,
2024-02-14_21-49-55,yolov5,8,1024,2400.0,600.0,10,,0.020342,0.021187,0.0074764,0.48164,0.94021,0.60206,0.32323,10.0,1.0,507.883026,30.0,50.0,3072.0,1e-07,6.5,131.4,7e-05,4.45931e-08,3072.0,
2024-02-14_21-58-23,yolov5,8,1024,2400.0,600.0,10,,0.019123,0.023493,0.006569,0.4892,0.92958,0.59582,0.31295,10.0,1.0,509.088983,30.0,50.0,3072.0,1e-07,6.5,131.4,8e-05,5.09636e-08,3072.0,
2024-02-14_22-06-52,yolov5,8,1024,2400.0,600.0,10,,0.022416,0.022756,0.0065589,0.48484,0.87708,0.64105,0.31909,10.0,1.0,1372.407346,30.0,50.0,3072.0,1e-07,6.5,131.4,9e-05,5.7334e-08,3072.0,
2024-02-14_22-29-44,yolov5,8,1024,2400.0,600.0,10,,0.018952,0.024938,0.007096,0.46691,0.92646,0.69582,0.37089,10.0,1.0,509.0704382,30.0,50.0,3072.0,1e-07,6.5,131.4,0.0001,6.37045e-08,3072.0,
2024-02-14_22-38-14,yolov5,8,1024,2400.0,600.0,10,,0.018737,0.022557,0.0072252,0.4852,0.88833,0.67813,0.35849,10.0,1.0,537.4692152,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00011,7.00749e-08,3072.0,
2024-02-14_22-47-11,yolov5,8,1024,2400.0,600.0,10,,0.019704,0.023287,0.0065492,0.50045,0.88271,0.69927,0.33708,10.0,1.0,529.8800701,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00012,7.64453e-08,3072.0,
2024-02-14_22-56-01,yolov5,8,1024,2400.0,600.0,10,,0.016928,0.022056,0.007241,0.52207,0.83292,0.69149,0.37378,10.0,1.0,518.1626563,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00013,8.28158e-08,3072.0,
2024-02-14_23-04-39,yolov5,8,1024,2400.0,600.0,10,,0.02238,0.027223,0.0073533,0.51663,0.83708,0.70899,0.2948,10.0,1.0,517.9140409,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00014,8.91862e-08,3072.0,
